Entity,Description,Grain,Product-Specific,Source Table,Original Insights Table,Entity Type,Attributes,Timestamps,Measures/Facts,Reports,Primary Use,Dependencies / Joins,Notes,Potential Issues
Move-In,Resident’s entry into occupancy,CustomerID + LeaseID,No,ARM.tblResidentMoveIn,InsightOccupancy.factOccupancyLiveByDayDetail,Event,Status,MoveInDT,Move-In Rate,"Revenue, Occupancy",Anchor for entry into occupancy. May be supplemented by Resident Room EventType = 8.,May require join to Resident Room for rate data.,Lacks detailed rate data. Base table may be sparse.,Lack of information in this base table.
Move-Out,Resident’s exit from occupancy,CustomerID + LeaseID,No,ARM.tblResidentMoveOut,InsightResident.factResidentMoveOut,Event,"Move Out Reason, Status","MoveOutDT, PhysicalMoveOutDT",Move-Out Rate,"Revenue, Occupancy, Rate Increase",Tracks exit from occupancy. Resident Room EventTypes 6 or 7 provide detail.,May need to union with Scheduled Move-Out and join to Discharge lookup.,DischargeID used for Move Out Reason.,No LeaseID; requires union for full view of movement.
Ledger Entry,Financial transaction line,CustomerID + LeaseID + CommunityID,Yes,ARM.tblGeneralLedger,InsightResident.factRevenueByLedgerEntry,Event,"Entry, Entry type",EffectiveDT,Actual Cost,Revenue,Captures financial transactions related to billing.,"DSD_ID logic comes from tblInvoice, not ARM.tblGeneralLedger.",Used for billed revenue.,ARM doesnâ€™t have DSD_IDs; Insight has unmatchable values like 'Medicaid'.
Rate Increase,Financial event increasing rent,CustomerID + CommunityID + EffectiveDT + Entry Type,Yes,RateIncrease.tblRateIncrease,InsightResident.factRateIncrease,Event,"Increase entry type, status, override, ","ProcessDT, EffectiveDT, NotificationDT","Forecasted Rate, Post-Increase Rate, Acceptable Variance",Rate Increase,"Tracks rent increases: forecasted, post, or override.",Complex logic lives in Power Query and SQL.,Supports forecasting and override behavior.,Requires engineering support to replicate logic.
Care Variance,Variance between Billed and Assessed care,CustomerID + AssessedEffectiveDT,Yes,ARM.wrkResidentCareVariance,,Event,"AssessedCareID, BilledCareID","AssessedEffectiveDT, BilledEffectiveDT","Assessed Rate, Billed Rate",Revenue,Assesses differences between billed and assessed care.,May involve both primary and ancillary wrk tables.,Variance logic fuels revenue opportunity insights.,Requires lookup tables for care levels; may be complex.
Resident Room,"Room assignment, moves, rate history",CustomerID + CommunityID + EffectiveDT + Event Type,No,ARM.tblResidentRoom,InsightResident.factResidentRoom,Event,Event type,EffectiveDT,Rate (Room),"Revenue, Occupancy, Rate Increase","Tracks room, payor, move-in/out, rate changes over time.","luEventType lookup; joins with Resident, Unit, Lease.",Good source of truth. Event-based.,ARM has only change events; Insight has daily rows.
Resident Primary Care,Primary care assignment,Resident + Care Level + Date,No,ARM.tblResidentCarePrimary,InsightResident.factResidentCarePrimaryByDay,Status,"Assessed care level & care type, billed",EffectiveDT,Rate (Care),"Revenue, Occupancy",Tracks primary care level/type per assessment.,Care lookup required.,Distinct from billed care; often tracked separately.,Can be confused with billed care or care variance.
Resident Ancillary Care,Ancillary service assignments,Resident + Service + Date,No,ARM.tblResidentCareAncillary,AnsightRoident.factARM,Status,"Assessed care level & service type, billed",EffectiveDT,Rate (Ancillary care),"Revenue, Occupancy",Captures additional care services billed per resident/date.,Needs service lookup.,"High volume, many rows per resident/date.",May not be used in all reports.
Reservation,Future planned occupancy,Resident + Unit + Date,No,ARM.tblReservation,,Event,,,,"Revenue, Occupancy",Represents future resident commitment prior to move-in.,Unioned into move-in tracking in reports.,Pending move-in status.,Inferred join behavior; may need status logic.
Scheduled Move-Out,Future scheduled move-out,Resident + Date + Community,Yes,ARM.tblMoveOutSchedule,,Event,,,,"Revenue, Occupancy",Flags future/planned departures.,Unioned into move-out logic.,Used for forecasting exits.,May require `IsAutoApply` flag review.
